epsilon,tied_fraction,non_tied_n,non_tied_selection_delta_pp,non_tied_p
0.01,0.011342155009451797,523,0.5806161933144278,0.2098
0.02,0.13610586011342155,457,0.8344208672436246,0.1461
0.03,0.31758034026465026,361,1.306603522670005,0.0787
0.05,0.6030245746691871,210,2.857859072144787,0.0035
0.1,0.8393194706994329,85,3.686274509803922,0.034
0.15,0.9319470699432892,36,4.1534391534391535,0.1139
0.2,0.9640831758034026,19,4.586466165413535,0.1343
